Date,Stars,Helpful_Votes,Words,Z_Score_Words,Paragraphs,Sentiment_Polarity,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review,Z_Score_Paragraphs,Z_Score_HelpfulVotes
04/5/2018,1,140,40,-0.26592717604470256,1,0.17222222222222222,0,2,91,199.0,-0.2984414007636219,13.624777248560376
06/6/2018,3,91,36,-0.30492257538698125,1,0.22000000000000008,0,1,96,198.0,-0.2984414007636219,8.824008644324495
10/4/2016,5,650,318,2.444253078243668,9,0.2531770833333333,11,5,89,206.11111111111111,4.450029573995677,63.59196068040321
05/19/2015,5,77,330,2.561239276270504,9,0.18859953703703708,16,2,91,197.77777777777766,4.450029573995677,7.452360471685672
07/13/2018,5,23,115,0.4652365616230233,1,0.19851190476190486,0,3,93,613.0,-0.2984414007636219,2.161717520078785
09/25/2018,5,13,129,0.6017204593209988,1,0.298538961038961,0,1,96,701.0,-0.2984414007636219,1.1819688253367686
08/12/2018,5,13,181,1.108660650770622,1,0.4335227272727273,0,2,95,995.0,-0.2984414007636219,1.1819688253367686
09/7/2018,1,16,27,-0.3926622239071084,1,-0.02500000000000001,0,2,94,152.0,-0.2984414007636219,1.4758934337593734
10/3/2017,5,18,174,1.0404187019216342,4,0.24437500000000004,6,3,91,234.5,1.4822352147711153,1.6718431727077767
10/19/2017,5,10,223,1.5181123438645483,3,0.3160468319559229,4,5,90,394.66666666666674,0.8886763429262029,0.8880442169141637
12/13/2018,5,5,224,1.527861193700118,4,0.2472968319559229,6,3,91,300.25,1.4822352147711153,0.3981698695431555
07/7/2017,1,19,108,0.3969946127740355,1,0.015306122448979585,0,3,88,587.0,-0.2984414007636219,1.7698180421819785
12/5/2018,5,6,104,0.35799921343175684,1,0.20336538461538464,0,4,91,596.0,-0.2984414007636219,0.4961447390173571
08/29/2018,1,11,13,-0.5291461216050839,1,-0.20000000000000004,0,5,77,74.0,-0.2984414007636219,0.9860190863883653
